Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,Net_Pressure,DayOfWeek,Month,Stress_Flag
2023-02-09,124.0,234.0,161.0,7908.0,353.0,7915.0,7803.0,6566.0,7823.714285714285,7654.071428571428,-192.0,3,2,0
2023-02-12,92.0,203.0,173.0,7434.0,317.0,7908.0,7903.0,7122.0,7756.714285714285,7676.357142857143,-144.0,6,2,0
2023-02-13,186.0,259.0,172.0,7483.0,244.0,7434.0,7879.0,7280.0,7700.142857142857,7690.857142857143,-72.0,0,2,0
2023-02-14,154.0,225.0,220.0,7794.0,223.0,7483.0,7586.0,7433.0,7729.857142857143,7716.642857142857,-3.0,1,2,0
2023-02-15,91.0,199.0,172.0,7869.0,290.0,7794.0,7720.0,7538.0,7751.142857142857,7740.285714285715,-118.0,2,2,0
2023-02-16,81.0,213.0,153.0,7793.0,361.0,7869.0,7855.0,7472.0,7742.285714285715,7763.214285714285,-208.0,3,2,0
2023-02-20,209.0,285.0,184.0,7817.0,209.0,7793.0,7915.0,7743.0,7728.285714285715,7768.5,-25.0,0,2,0
2023-02-21,184.0,314.0,217.0,7967.0,213.0,7817.0,7908.0,7803.0,7736.714285714285,7780.214285714285,4.0,1,2,1
2023-02-22,107.0,215.0,230.0,7978.0,232.0,7967.0,7434.0,7903.0,7814.428571428572,7785.571428571428,-2.0,2,2,0
2023-02-23,101.0,162.0,178.0,7914.0,386.0,7978.0,7483.0,7879.0,7876.0,7788.071428571428,-208.0,3,2,0
2023-02-26,99.0,190.0,176.0,7609.0,323.0,7914.0,7794.0,7586.0,7849.571428571428,7789.714285714285,-147.0,6,2,0
2023-02-27,167.0,239.0,166.0,7800.0,248.0,7609.0,7869.0,7720.0,7839.714285714285,7795.428571428572,-82.0,0,2,0
2023-02-28,115.0,216.0,169.0,7896.0,200.0,7800.0,7793.0,7855.0,7854.428571428572,7798.357142857143,-31.0,1,2,0
2023-03-01,84.0,158.0,193.0,7930.0,307.0,7896.0,7817.0,7915.0,7870.571428571428,7799.428571428572,-114.0,2,3,0
2023-03-02,130.0,227.0,192.0,7870.0,335.0,7930.0,7967.0,7908.0,7856.714285714285,7796.714285714285,-143.0,3,3,0
2023-03-07,88.0,214.0,160.0,7859.0,259.0,7870.0,7978.0,7434.0,7839.714285714285,7827.071428571428,-99.0,1,3,0
2023-03-08,113.0,208.0,159.0,7885.0,291.0,7859.0,7914.0,7483.0,7835.571428571428,7855.785714285715,-132.0,2,3,0
2023-03-09,174.0,285.0,150.0,7786.0,340.0,7885.0,7609.0,7794.0,7860.857142857143,7855.214285714285,-190.0,3,3,0
2023-03-13,104.0,230.0,206.0,7567.0,249.0,7786.0,7800.0,7869.0,7827.571428571428,7833.642857142857,-43.0,0,3,0
2023-03-14,147.0,276.0,214.0,7810.0,181.0,7567.0,7896.0,7793.0,7815.285714285715,7834.857142857143,33.0,1,3,1
2023-03-15,108.0,220.0,213.0,7915.0,286.0,7810.0,7930.0,7817.0,7813.142857142857,7841.857142857143,-73.0,2,3,0
2023-03-16,180.0,280.0,146.0,7989.0,308.0,7915.0,7870.0,7967.0,7830.142857142857,7843.428571428572,-162.0,3,3,0
2023-03-19,134.0,294.0,186.0,7885.0,306.0,7989.0,7859.0,7978.0,7833.857142857143,7836.785714285715,-120.0,6,3,0
2023-03-20,202.0,313.0,158.0,7931.0,279.0,7885.0,7885.0,7914.0,7840.428571428572,7838.0,-121.0,0,3,0
